Timestamp,People Count,Limit Threshold,Density Level,Overcrowded,Zone Distribution
2026-07-13 15:35:32,0,4,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:34,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:36,1,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:38,1,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:1,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:40,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:42,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:44,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:46,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:48,2,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:1,Zone R3C2:1,Zone R3C3:0"
2026-07-13 15:35:50,2,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:52,2,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:2,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:54,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:56,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:58,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:00,3,2,Low,1,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:3,Zone R3C3:0"
2026-07-13 15:36:02,3,2,Low,1,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:0,Zone R2C3:2,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:04,1,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:1,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:06,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:08,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:10,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:12,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:14,1,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
